Variable,n,nmiss,n_pct,nmiss_pct,
UNITID,5879,0,100%,0%,1
OPEID,5879,0,100%,0%,1
OPEID6,5879,0,100%,0%,1
INSTNM,5879,0,100%,0%,1
CITY,5879,0,100%,0%,1
STABBR,5879,0,100%,0%,1
ZIP,5879,0,100%,0%,1
HCM2,5879,0,100%,0%,1
MAIN,5879,0,100%,0%,1
NUMBRANCH,5879,0,100%,0%,1
PREDDEG,5879,0,100%,0%,1
HIGHDEG,5879,0,100%,0%,1
CONTROL,5879,0,100%,0%,1
ST_FIPS,5879,0,100%,0%,1
REGION,5879,0,100%,0%,1
LOCALE,5879,0,100%,0%,1
LATITUDE,5879,0,100%,0%,1
LONGITUDE,5879,0,100%,0%,1
CCBASIC,5879,0,100%,0%,1
CCUGPROF,5879,0,100%,0%,1
CCSIZSET,5879,0,100%,0%,1
MENONLY,5879,0,100%,0%,1
WOMENONLY,5879,0,100%,0%,1
PCIP01,5879,0,100%,0%,1
PCIP03,5879,0,100%,0%,1
PCIP04,5879,0,100%,0%,1
PCIP05,5879,0,100%,0%,1
PCIP09,5879,0,100%,0%,1
PCIP10,5879,0,100%,0%,1
PCIP11,5879,0,100%,0%,1
PCIP12,5879,0,100%,0%,1
PCIP13,5879,0,100%,0%,1
PCIP14,5879,0,100%,0%,1
PCIP15,5879,0,100%,0%,1
PCIP16,5879,0,100%,0%,1
PCIP19,5879,0,100%,0%,1
PCIP22,5879,0,100%,0%,1
PCIP23,5879,0,100%,0%,1
PCIP24,5879,0,100%,0%,1
PCIP25,5879,0,100%,0%,1
PCIP26,5879,0,100%,0%,1
PCIP27,5879,0,100%,0%,1
PCIP29,5879,0,100%,0%,1
PCIP30,5879,0,100%,0%,1
PCIP31,5879,0,100%,0%,1
PCIP38,5879,0,100%,0%,1
PCIP39,5879,0,100%,0%,1
PCIP40,5879,0,100%,0%,1
PCIP41,5879,0,100%,0%,1
PCIP42,5879,0,100%,0%,1
PCIP43,5879,0,100%,0%,1
PCIP44,5879,0,100%,0%,1
PCIP45,5879,0,100%,0%,1
PCIP46,5879,0,100%,0%,1
PCIP47,5879,0,100%,0%,1
PCIP48,5879,0,100%,0%,1
PCIP49,5879,0,100%,0%,1
PCIP50,5879,0,100%,0%,1
PCIP51,5879,0,100%,0%,1
PCIP52,5879,0,100%,0%,1
PCIP54,5879,0,100%,0%,1
CIP01CERT1,5879,0,100%,0%,1
CIP01CERT2,5879,0,100%,0%,1
CIP01ASSOC,5879,0,100%,0%,1
CIP01CERT4,5879,0,100%,0%,1
CIP01BACHL,5879,0,100%,0%,1
CIP03CERT1,5879,0,100%,0%,1
CIP03CERT2,5879,0,100%,0%,1
CIP03ASSOC,5879,0,100%,0%,1
CIP03CERT4,5879,0,100%,0%,1
CIP03BACHL,5879,0,100%,0%,1
CIP04CERT1,5879,0,100%,0%,1
CIP04CERT2,5879,0,100%,0%,1
CIP04ASSOC,5879,0,100%,0%,1
CIP04CERT4,5879,0,100%,0%,1
CIP04BACHL,5879,0,100%,0%,1
CIP05CERT1,5879,0,100%,0%,1
CIP05CERT2,5879,0,100%,0%,1
CIP05ASSOC,5879,0,100%,0%,1
CIP05CERT4,5879,0,100%,0%,1
CIP05BACHL,5879,0,100%,0%,1
CIP09CERT1,5879,0,100%,0%,1
CIP09CERT2,5879,0,100%,0%,1
CIP09ASSOC,5879,0,100%,0%,1
CIP09CERT4,5879,0,100%,0%,1
CIP09BACHL,5879,0,100%,0%,1
CIP10CERT1,5879,0,100%,0%,1
CIP10CERT2,5879,0,100%,0%,1
CIP10ASSOC,5879,0,100%,0%,1
CIP10CERT4,5879,0,100%,0%,1
CIP10BACHL,5879,0,100%,0%,1
CIP11CERT1,5879,0,100%,0%,1
CIP11CERT2,5879,0,100%,0%,1
CIP11ASSOC,5879,0,100%,0%,1
CIP11CERT4,5879,0,100%,0%,1
CIP11BACHL,5879,0,100%,0%,1
CIP12CERT1,5879,0,100%,0%,1
CIP12CERT2,5879,0,100%,0%,1
CIP12ASSOC,5879,0,100%,0%,1
CIP12CERT4,5879,0,100%,0%,1
CIP12BACHL,5879,0,100%,0%,1
CIP13CERT1,5879,0,100%,0%,1
CIP13CERT2,5879,0,100%,0%,1
CIP13ASSOC,5879,0,100%,0%,1
CIP13CERT4,5879,0,100%,0%,1
CIP13BACHL,5879,0,100%,0%,1
CIP14CERT1,5879,0,100%,0%,1
CIP14CERT2,5879,0,100%,0%,1
CIP14ASSOC,5879,0,100%,0%,1
CIP14CERT4,5879,0,100%,0%,1
CIP14BACHL,5879,0,100%,0%,1
CIP15CERT1,5879,0,100%,0%,1
CIP15CERT2,5879,0,100%,0%,1
CIP15ASSOC,5879,0,100%,0%,1
CIP15CERT4,5879,0,100%,0%,1
CIP15BACHL,5879,0,100%,0%,1
CIP16CERT1,5879,0,100%,0%,1
CIP16CERT2,5879,0,100%,0%,1
CIP16ASSOC,5879,0,100%,0%,1
CIP16CERT4,5879,0,100%,0%,1
CIP16BACHL,5879,0,100%,0%,1
CIP19CERT1,5879,0,100%,0%,1
CIP19CERT2,5879,0,100%,0%,1
CIP19ASSOC,5879,0,100%,0%,1
CIP19CERT4,5879,0,100%,0%,1
CIP19BACHL,5879,0,100%,0%,1
CIP22CERT1,5879,0,100%,0%,1
CIP22CERT2,5879,0,100%,0%,1
CIP22ASSOC,5879,0,100%,0%,1
CIP22CERT4,5879,0,100%,0%,1
CIP22BACHL,5879,0,100%,0%,1
CIP23CERT1,5879,0,100%,0%,1
CIP23CERT2,5879,0,100%,0%,1
CIP23ASSOC,5879,0,100%,0%,1
CIP23CERT4,5879,0,100%,0%,1
CIP23BACHL,5879,0,100%,0%,1
CIP24CERT1,5879,0,100%,0%,1
CIP24CERT2,5879,0,100%,0%,1
CIP24ASSOC,5879,0,100%,0%,1
CIP24CERT4,5879,0,100%,0%,1
CIP24BACHL,5879,0,100%,0%,1
CIP25CERT1,5879,0,100%,0%,1
CIP25CERT2,5879,0,100%,0%,1
CIP25ASSOC,5879,0,100%,0%,1
CIP25CERT4,5879,0,100%,0%,1
CIP25BACHL,5879,0,100%,0%,1
CIP26CERT1,5879,0,100%,0%,1
CIP26CERT2,5879,0,100%,0%,1
CIP26ASSOC,5879,0,100%,0%,1
CIP26CERT4,5879,0,100%,0%,1
CIP26BACHL,5879,0,100%,0%,1
CIP27CERT1,5879,0,100%,0%,1
CIP27CERT2,5879,0,100%,0%,1
CIP27ASSOC,5879,0,100%,0%,1
CIP27CERT4,5879,0,100%,0%,1
CIP27BACHL,5879,0,100%,0%,1
CIP29CERT1,5879,0,100%,0%,1
CIP29CERT2,5879,0,100%,0%,1
CIP29ASSOC,5879,0,100%,0%,1
CIP29CERT4,5879,0,100%,0%,1
CIP29BACHL,5879,0,100%,0%,1
CIP30CERT1,5879,0,100%,0%,1
CIP30CERT2,5879,0,100%,0%,1
CIP30ASSOC,5879,0,100%,0%,1
CIP30CERT4,5879,0,100%,0%,1
CIP30BACHL,5879,0,100%,0%,1
CIP31CERT1,5879,0,100%,0%,1
CIP31CERT2,5879,0,100%,0%,1
CIP31ASSOC,5879,0,100%,0%,1
CIP31CERT4,5879,0,100%,0%,1
CIP31BACHL,5879,0,100%,0%,1
CIP38CERT1,5879,0,100%,0%,1
CIP38CERT2,5879,0,100%,0%,1
CIP38ASSOC,5879,0,100%,0%,1
CIP38CERT4,5879,0,100%,0%,1
CIP38BACHL,5879,0,100%,0%,1
CIP39CERT1,5879,0,100%,0%,1
CIP39CERT2,5879,0,100%,0%,1
CIP39ASSOC,5879,0,100%,0%,1
CIP39CERT4,5879,0,100%,0%,1
CIP39BACHL,5879,0,100%,0%,1
CIP40CERT1,5879,0,100%,0%,1
CIP40CERT2,5879,0,100%,0%,1
CIP40ASSOC,5879,0,100%,0%,1
CIP40CERT4,5879,0,100%,0%,1
CIP40BACHL,5879,0,100%,0%,1
CIP41CERT1,5879,0,100%,0%,1
CIP41CERT2,5879,0,100%,0%,1
CIP41ASSOC,5879,0,100%,0%,1
CIP41CERT4,5879,0,100%,0%,1
CIP41BACHL,5879,0,100%,0%,1
CIP42CERT1,5879,0,100%,0%,1
CIP42CERT2,5879,0,100%,0%,1
CIP42ASSOC,5879,0,100%,0%,1
CIP42CERT4,5879,0,100%,0%,1
CIP42BACHL,5879,0,100%,0%,1
CIP43CERT1,5879,0,100%,0%,1
CIP43CERT2,5879,0,100%,0%,1
CIP43ASSOC,5879,0,100%,0%,1
CIP43CERT4,5879,0,100%,0%,1
CIP43BACHL,5879,0,100%,0%,1
CIP44CERT1,5879,0,100%,0%,1
CIP44CERT2,5879,0,100%,0%,1
CIP44ASSOC,5879,0,100%,0%,1
CIP44CERT4,5879,0,100%,0%,1
CIP44BACHL,5879,0,100%,0%,1
CIP45CERT1,5879,0,100%,0%,1
CIP45CERT2,5879,0,100%,0%,1
CIP45ASSOC,5879,0,100%,0%,1
CIP45CERT4,5879,0,100%,0%,1
CIP45BACHL,5879,0,100%,0%,1
CIP46CERT1,5879,0,100%,0%,1
CIP46CERT2,5879,0,100%,0%,1
CIP46ASSOC,5879,0,100%,0%,1
CIP46CERT4,5879,0,100%,0%,1
CIP46BACHL,5879,0,100%,0%,1
CIP47CERT1,5879,0,100%,0%,1
CIP47CERT2,5879,0,100%,0%,1
CIP47ASSOC,5879,0,100%,0%,1
CIP47CERT4,5879,0,100%,0%,1
CIP47BACHL,5879,0,100%,0%,1
CIP48CERT1,5879,0,100%,0%,1
CIP48CERT2,5879,0,100%,0%,1
CIP48ASSOC,5879,0,100%,0%,1
CIP48CERT4,5879,0,100%,0%,1
CIP48BACHL,5879,0,100%,0%,1
CIP49CERT1,5879,0,100%,0%,1
CIP49CERT2,5879,0,100%,0%,1
CIP49ASSOC,5879,0,100%,0%,1
CIP49CERT4,5879,0,100%,0%,1
CIP49BACHL,5879,0,100%,0%,1
CIP50CERT1,5879,0,100%,0%,1
CIP50CERT2,5879,0,100%,0%,1
CIP50ASSOC,5879,0,100%,0%,1
CIP50CERT4,5879,0,100%,0%,1
CIP50BACHL,5879,0,100%,0%,1
CIP51CERT1,5879,0,100%,0%,1
CIP51CERT2,5879,0,100%,0%,1
CIP51ASSOC,5879,0,100%,0%,1
CIP51CERT4,5879,0,100%,0%,1
CIP51BACHL,5879,0,100%,0%,1
CIP52CERT1,5879,0,100%,0%,1
CIP52CERT2,5879,0,100%,0%,1
CIP52ASSOC,5879,0,100%,0%,1
CIP52CERT4,5879,0,100%,0%,1
CIP52BACHL,5879,0,100%,0%,1
CIP54CERT1,5879,0,100%,0%,1
CIP54CERT2,5879,0,100%,0%,1
CIP54ASSOC,5879,0,100%,0%,1
CIP54CERT4,5879,0,100%,0%,1
CIP54BACHL,5879,0,100%,0%,1
DISTANCEONLY,5879,0,100%,0%,1
CURROPER,5879,0,100%,0%,1
PCTPELL,5879,0,100%,0%,1
PCTFLOAN,5879,0,100%,0%,1
ICLEVEL,5879,0,100%,0%,1
D_PCTPELL_PCTFLOAN,5879,0,100%,0%,1
OPEFLAG,5879,0,100%,0%,1
SCUGFFN,5879,0,100%,0%,1
PELLCAT,5879,0,100%,0%,1
UGDS,5878,1,99.98%,0.02%,1
UGDS_WHITE,5878,1,99.98%,0.02%,1
UGDS_BLACK,5878,1,99.98%,0.02%,1
UGDS_HISP,5878,1,99.98%,0.02%,1
UGDS_ASIAN,5878,1,99.98%,0.02%,1
UGDS_AIAN,5878,1,99.98%,0.02%,1
UGDS_NHPI,5878,1,99.98%,0.02%,1
UGDS_2MOR,5878,1,99.98%,0.02%,1
UGDS_NRA,5878,1,99.98%,0.02%,1
UGDS_UNKN,5878,1,99.98%,0.02%,1
UGDS_MEN,5878,1,99.98%,0.02%,1
UGDS_WOMEN,5878,1,99.98%,0.02%,1
T4APPROVALDATE,5878,1,99.98%,0.02%,1
INSTURL,5876,3,99.95%,0.05%,1
UG12MN,5876,3,99.95%,0.05%,1
HBCU,5875,4,99.93%,0.07%,1
PBI,5875,4,99.93%,0.07%,1
ANNHI,5875,4,99.93%,0.07%,1
TRIBAL,5875,4,99.93%,0.07%,1
AANAPII,5875,4,99.93%,0.07%,1
HSI,5875,4,99.93%,0.07%,1
NANTI,5875,4,99.93%,0.07%,1
FEDSCHCD,5874,5,99.91%,0.09%,1
TUITFTE,5869,10,99.83%,0.17%,1
INEXPFTE,5869,10,99.83%,0.17%,1
NPCURL,5868,11,99.81%,0.19%,1
PPTUG_EF,5865,14,99.76%,0.24%,1
OPENADMP,5728,151,97.43%,2.57%,1
FTFTPCTPELL,5605,274,95.34%,4.66%,1
FTFTPCTFLOAN,5605,274,95.34%,4.66%,1
ACCREDAGENCY,5593,286,95.14%,4.86%,1
ACCREDCODE,5593,286,95.14%,4.86%,1
SCHTYPE,5566,313,94.68%,5.32%,1
PFTFTUG1_EF,5561,318,94.59%,5.41%,1
LPSTAFFORD_CNT,5559,320,94.56%,5.44%,1
LPSTAFFORD_AMT,5559,320,94.56%,5.44%,1
DEBT_N,5297,582,90.10%,9.90%,1
PPLUS_PCT_LOW,5290,589,89.98%,10.02%,1
PPLUS_PCT_HIGH,5290,589,89.98%,10.02%,1
DEBT_MDN,5202,677,88.48%,11.52%,1
DBRR1_FED_UG_N,5201,678,88.47%,11.53%,1
DBRR1_FED_UG_NUM,5201,678,88.47%,11.53%,1
DBRR1_FED_UG_DEN,5201,678,88.47%,11.53%,1
DBRR1_FED_UG_RT,5201,678,88.47%,11.53%,1
BBRR2_FED_UG_N,5114,765,86.99%,13.01%,1
CDR3,5093,786,86.63%,13.37%,1
CDR3_DENOM,5093,786,86.63%,13.37%,1
DBRR4_FED_UG_N,5017,862,85.34%,14.66%,1
DBRR4_FED_UG_NUM,5017,862,85.34%,14.66%,1
DBRR4_FED_UG_DEN,5017,862,85.34%,14.66%,1
DBRR4_FED_UG_RT,5017,862,85.34%,14.66%,1
LO_INC_DEBT_N,4966,913,84.47%,15.53%,1
DBRR5_FED_UG_N,4960,919,84.37%,15.63%,1
DBRR5_FED_UG_NUM,4960,919,84.37%,15.63%,1
DBRR5_FED_UG_DEN,4960,919,84.37%,15.63%,1
DBRR5_FED_UG_RT,4960,919,84.37%,15.63%,1
GRAD_DEBT_N,4882,997,83.04%,16.96%,1
WDRAW_DEBT_N,4882,997,83.04%,16.96%,1
DEP_DEBT_N,4870,1009,82.84%,17.16%,1
IND_DEBT_N,4870,1009,82.84%,17.16%,1
GRAD_DEBT_MDN,4786,1093,81.41%,18.59%,1
GRAD_DEBT_MDN10YR,4786,1093,81.41%,18.59%,1
BBRR2_FED_UG_FBR,4761,1118,80.98%,19.02%,1
DBRR4_FED_UGCOMP_N,4756,1123,80.90%,19.10%,1
DBRR4_FED_UGCOMP_NUM,4756,1123,80.90%,19.10%,1
DBRR4_FED_UGCOMP_DEN,4756,1123,80.90%,19.10%,1
DBRR4_FED_UGCOMP_RT,4756,1123,80.90%,19.10%,1
BBRR2_FED_UG_NOPROG,4739,1140,80.61%,19.39%,1
BBRR2_FED_UG_MAKEPROG,4726,1153,80.39%,19.61%,1
DBRR1_FED_UGCOMP_N,4713,1166,80.17%,19.83%,1
DBRR1_FED_UGCOMP_NUM,4713,1166,80.17%,19.83%,1
DBRR1_FED_UGCOMP_DEN,4713,1166,80.17%,19.83%,1
DBRR1_FED_UGCOMP_RT,4713,1166,80.17%,19.83%,1
BBRR2_FED_UGCOMP_N,4709,1170,80.10%,19.90%,1
LO_INC_DEBT_MDN,4705,1174,80.03%,19.97%,1
PLUS_DEBT_ALL_N,4690,1189,79.78%,20.22%,1
PELL_DEBT_N,4685,1194,79.69%,20.31%,1
NOPELL_DEBT_N,4685,1194,79.69%,20.31%,1
WDRAW_DEBT_MDN,4637,1242,78.87%,21.13%,1
FIRSTGEN_DEBT_N,4613,1266,78.47%,21.53%,1
NOTFIRSTGEN_DEBT_N,4613,1266,78.47%,21.53%,1
DEP_DEBT_MDN,4539,1340,77.21%,22.79%,1
IND_DEBT_MDN,4539,1340,77.21%,22.79%,1
LPPPLUS_CNT,4465,1414,75.95%,24.05%,1
LPPPLUS_AMT,4465,1414,75.95%,24.05%,1
DBRR10_FED_UG_N,4436,1443,75.46%,24.54%,1
DBRR10_FED_UG_NUM,4436,1443,75.46%,24.54%,1
DBRR10_FED_UG_DEN,4436,1443,75.46%,24.54%,1
DBRR10_FED_UG_RT,4436,1443,75.46%,24.54%,1
FEMALE_DEBT_N,4401,1478,74.86%,25.14%,1
MALE_DEBT_N,4401,1478,74.86%,25.14%,1
MD_INC_DEBT_N,4382,1497,74.54%,25.46%,1
HI_INC_DEBT_N,4379,1500,74.49%,25.51%,1
PELL_DEBT_MDN,4360,1519,74.16%,25.84%,1
NOPELL_DEBT_MDN,4360,1519,74.16%,25.84%,1
DBRR4_FED_UGUNK_N,4358,1521,74.13%,25.87%,1
DBRR4_FED_UGUNK_NUM,4358,1521,74.13%,25.87%,1
DBRR4_FED_UGUNK_DEN,4358,1521,74.13%,25.87%,1
DBRR4_FED_UGUNK_RT,4358,1521,74.13%,25.87%,1
PLUS_DEBT_ALL_MD,4319,1560,73.46%,26.54%,1
DBRR4_FED_UGNOCOMP_N,4302,1577,73.18%,26.82%,1
DBRR4_FED_UGNOCOMP_NUM,4302,1577,73.18%,26.82%,1
DBRR4_FED_UGNOCOMP_DEN,4302,1577,73.18%,26.82%,1
DBRR4_FED_UGNOCOMP_RT,4302,1577,73.18%,26.82%,1
FIRSTGEN_DEBT_MDN,4238,1641,72.09%,27.91%,1
NOTFIRSTGEN_DEBT_MDN,4238,1641,72.09%,27.91%,1
FEMALE_DEBT_MDN,4110,1769,69.91%,30.09%,1
MALE_DEBT_MDN,4110,1769,69.91%,30.09%,1
BBRR2_FED_UG_DFR,4051,1828,68.91%,31.09%,1
MD_INC_DEBT_MDN,3991,1888,67.89%,32.11%,1
HI_INC_DEBT_MDN,3985,1894,67.78%,32.22%,1
DBRR20_FED_UG_N,3980,1899,67.70%,32.30%,1
DBRR20_FED_UG_NUM,3980,1899,67.70%,32.30%,1
DBRR20_FED_UG_DEN,3980,1899,67.70%,32.30%,1
DBRR20_FED_UG_RT,3980,1899,67.70%,32.30%,1
PLUS_DEBT_ALL_PELL_N,3958,1921,67.32%,32.68%,1
PLUS_DEBT_ALL_NOPELL_N,3958,1921,67.32%,32.68%,1
PLUS_DEBT_ALL_COMP_N,3820,2059,64.98%,35.02%,1
PLUS_DEBT_ALL_NOCOMP_N,3820,2059,64.98%,35.02%,1
BBRR2_FED_UG_DFLT,3819,2060,64.96%,35.04%,1
PLUS_DEBT_INST_N,3776,2103,64.23%,35.77%,1
BBRR2_FED_UGCOMP_NOPROG,3757,2122,63.91%,36.09%,1
DBRR1_PP_UG_N,3708,2171,63.07%,36.93%,1
DBRR1_PP_UG_NUM,3708,2171,63.07%,36.93%,1
DBRR1_PP_UG_DEN,3708,2171,63.07%,36.93%,1
DBRR1_PP_UG_RT,3708,2171,63.07%,36.93%,1
OMACHT6_FTFT,3675,2204,62.51%,37.49%,1
OMACHT8_FTFT,3675,2204,62.51%,37.49%,1
OMACHT6_PTFT,3675,2204,62.51%,37.49%,1
OMACHT8_PTFT,3675,2204,62.51%,37.49%,1
OMACHT6_FTNFT,3675,2204,62.51%,37.49%,1
OMACHT8_FTNFT,3675,2204,62.51%,37.49%,1
OMACHT6_PTNFT,3675,2204,62.51%,37.49%,1
OMACHT8_PTNFT,3675,2204,62.51%,37.49%,1
OMENRYP_ALL,3675,2204,62.51%,37.49%,1
OMENRAP_ALL,3675,2204,62.51%,37.49%,1
OMAWDP8_ALL,3675,2204,62.51%,37.49%,1
OMENRUP_ALL,3675,2204,62.51%,37.49%,1
AVGFACSAL,3674,2205,62.49%,37.51%,1
OMENRYP_FULLTIME,3656,2223,62.19%,37.81%,1
OMENRAP_FULLTIME,3656,2223,62.19%,37.81%,1
OMAWDP8_FULLTIME,3656,2223,62.19%,37.81%,1
OMENRUP_FULLTIME,3656,2223,62.19%,37.81%,1
NUM4_PRIV,3622,2257,61.61%,38.39%,1
NPT4_PRIV,3621,2258,61.59%,38.41%,1
NUM41_PRIV,3621,2258,61.59%,38.41%,1
NUM42_PRIV,3621,2258,61.59%,38.41%,1
NUM43_PRIV,3621,2258,61.59%,38.41%,1
NUM44_PRIV,3621,2258,61.59%,38.41%,1
NUM45_PRIV,3621,2258,61.59%,38.41%,1
BBRR2_FED_UGCOMP_FBR,3596,2283,61.17%,38.83%,1
NPT4_048_PRIV,3592,2287,61.10%,38.90%,1
PLUS_DEBT_ALL_MALE_N,3589,2290,61.05%,38.95%,1
PLUS_DEBT_ALL_NOMALE_N,3589,2290,61.05%,38.95%,1
OMENRYP_FIRSTTIME,3573,2306,60.78%,39.22%,1
OMENRAP_FIRSTTIME,3573,2306,60.78%,39.22%,1
OMAWDP8_FIRSTTIME,3573,2306,60.78%,39.22%,1
OMENRUP_FIRSTTIME,3573,2306,60.78%,39.22%,1
OMENRYP_NOTFIRSTTIME,3568,2311,60.69%,39.31%,1
OMENRAP_NOTFIRSTTIME,3568,2311,60.69%,39.31%,1
OMAWDP8_NOTFIRSTTIME,3568,2311,60.69%,39.31%,1
OMENRUP_NOTFIRSTTIME,3568,2311,60.69%,39.31%,1
NPT41_PRIV,3555,2324,60.47%,39.53%,1
OMAWDP6_FTFT,3541,2338,60.23%,39.77%,1
OMAWDP8_FTFT,3541,2338,60.23%,39.77%,1
OMENRYP8_FTFT,3541,2338,60.23%,39.77%,1
OMENRAP8_FTFT,3541,2338,60.23%,39.77%,1
OMENRUP8_FTFT,3541,2338,60.23%,39.77%,1
DBRR5_PP_UG_N,3541,2338,60.23%,39.77%,1
DBRR5_PP_UG_NUM,3541,2338,60.23%,39.77%,1
DBRR5_PP_UG_DEN,3541,2338,60.23%,39.77%,1
DBRR5_PP_UG_RT,3541,2338,60.23%,39.77%,1
OMAWDP6_FTNFT,3538,2341,60.18%,39.82%,1
OMAWDP8_FTNFT,3538,2341,60.18%,39.82%,1
OMENRYP8_FTNFT,3538,2341,60.18%,39.82%,1
OMENRAP8_FTNFT,3538,2341,60.18%,39.82%,1
OMENRUP8_FTNFT,3538,2341,60.18%,39.82%,1
BBRR2_PP_UG_N,3525,2354,59.96%,40.04%,1
BBRR2_FED_UGNOCOMP_N,3509,2370,59.69%,40.31%,1
PLUS_DEBT_ALL_PELL_MD,3498,2381,59.50%,40.50%,1
PLUS_DEBT_ALL_NOPELL_MD,3498,2381,59.50%,40.50%,1
DBRR4_PP_UG_N,3478,2401,59.16%,40.84%,1
DBRR4_PP_UG_NUM,3478,2401,59.16%,40.84%,1
DBRR4_PP_UG_DEN,3478,2401,59.16%,40.84%,1
DBRR4_PP_UG_RT,3478,2401,59.16%,40.84%,1
TUITIONFEE_IN,3452,2427,58.72%,41.28%,1
TUITIONFEE_OUT,3452,2427,58.72%,41.28%,1
PLUS_DEBT_INST_MD,3364,2515,57.22%,42.78%,1
BBRR2_FED_UGUNK_N,3359,2520,57.14%,42.86%,0
PLUS_DEBT_ALL_COMP_MD,3358,2521,57.12%,42.88%,0
PLUS_DEBT_ALL_COMP_MDPAY10,3358,2521,57.12%,42.88%,0
PLUS_DEBT_ALL_NOCOMP_MD,3358,2521,57.12%,42.88%,0
