Variable,n,nmiss,n_pct,nmiss_pct,
COSTT4_A,3335,2544,56.73%,43.27%,0
PFTFAC,3331,2548,56.66%,43.34%,0
DBRR1_FED_UGNOCOMP_N,3312,2567,56.34%,43.66%,0
DBRR1_FED_UGNOCOMP_NUM,3312,2567,56.34%,43.66%,0
DBRR1_FED_UGNOCOMP_DEN,3312,2567,56.34%,43.66%,0
DBRR1_FED_UGNOCOMP_RT,3312,2567,56.34%,43.66%,0
DBRR10_PP_UG_N,3273,2606,55.67%,44.33%,0
DBRR10_PP_UG_NUM,3273,2606,55.67%,44.33%,0
DBRR10_PP_UG_DEN,3273,2606,55.67%,44.33%,0
DBRR10_PP_UG_RT,3273,2606,55.67%,44.33%,0
BBRR2_FED_UGCOMP_MAKEPROG,3273,2606,55.67%,44.33%,0
C150_L4,3251,2628,55.30%,44.70%,0
D150_L4,3251,2628,55.30%,44.70%,0
TRANS_L4,3251,2628,55.30%,44.70%,0
DTRANS_L4,3251,2628,55.30%,44.70%,0
C100_L4,3249,2630,55.26%,44.74%,0
D100_L4,3249,2630,55.26%,44.74%,0
PLUS_DEBT_ALL_MALE_MD,3244,2635,55.18%,44.82%,0
PLUS_DEBT_ALL_NOMALE_MD,3244,2635,55.18%,44.82%,0
C200_L4,3172,2707,53.95%,46.05%,0
D200_L4,3172,2707,53.95%,46.05%,0
C150_L4_PELL,3133,2746,53.29%,46.71%,0
D150_L4_PELL,3133,2746,53.29%,46.71%,0
RET_FTL4,3130,2749,53.24%,46.76%,0
DBRR1_FED_UGUNK_N,3091,2788,52.58%,47.42%,0
DBRR1_FED_UGUNK_NUM,3091,2788,52.58%,47.42%,0
DBRR1_FED_UGUNK_DEN,3091,2788,52.58%,47.42%,0
DBRR1_FED_UGUNK_RT,3091,2788,52.58%,47.42%,0
OMENRYP_PARTTIME,3035,2844,51.62%,48.38%,0
OMENRAP_PARTTIME,3035,2844,51.62%,48.38%,0
OMAWDP8_PARTTIME,3035,2844,51.62%,48.38%,0
OMENRUP_PARTTIME,3035,2844,51.62%,48.38%,0
PLUS_DEBT_INST_PELL_N,3031,2848,51.56%,48.44%,0
PLUS_DEBT_INST_NOPELL_N,3031,2848,51.56%,48.44%,0
BBRR2_FED_UG_PAIDINFULL,3029,2850,51.52%,48.48%,0
BBRR2_FED_UG_DLNQ,3007,2872,51.15%,48.85%,0
NPT4_3075_PRIV,2998,2881,51.00%,49.00%,0
PLUS_DEBT_ALL_STAFFTHIS_N,2952,2927,50.21%,49.79%,0
PLUS_DEBT_ALL_NOSTAFFTHIS_N,2952,2927,50.21%,49.79%,0
OMAWDP6_PTNFT,2936,2943,49.94%,50.06%,0
OMAWDP8_PTNFT,2936,2943,49.94%,50.06%,0
OMENRYP8_PTNFT,2936,2943,49.94%,50.06%,0
OMENRAP8_PTNFT,2936,2943,49.94%,50.06%,0
OMENRUP8_PTNFT,2936,2943,49.94%,50.06%,0
BBRR2_FED_UGCOMP_DFR,2897,2982,49.28%,50.72%,0
BBRR2_FED_UGNOCOMP_NOPROG,2893,2986,49.21%,50.79%,0
C150_L4_NOLOANNOPELL,2882,2997,49.02%,50.98%,0
D150_L4_NOLOANNOPELL,2882,2997,49.02%,50.98%,0
BBRR2_FED_UGNOCOMP_FBR,2865,3014,48.73%,51.27%,0
NPT42_PRIV,2862,3017,48.68%,51.32%,0
UGNONDS,2818,3061,47.93%,52.07%,0
PLUS_DEBT_INST_COMP_N,2785,3094,47.37%,52.63%,0
PLUS_DEBT_INST_NOCOMP_N,2785,3094,47.37%,52.63%,0
OMAWDP6_PTFT,2736,3143,46.54%,53.46%,0
OMAWDP8_PTFT,2736,3143,46.54%,53.46%,0
OMENRYP8_PTFT,2736,3143,46.54%,53.46%,0
OMENRAP8_PTFT,2736,3143,46.54%,53.46%,0
OMENRUP8_PTFT,2736,3143,46.54%,53.46%,0
BBRR2_FED_UGUNK_NOPROG,2730,3149,46.44%,53.56%,0
BBRR2_PP_UG_MAKEPROG,2673,3206,45.47%,54.53%,0
PLUS_DEBT_INST_MALE_N,2643,3236,44.96%,55.04%,0
PLUS_DEBT_INST_NOMALE_N,2643,3236,44.96%,55.04%,0
BBRR2_FED_UGNOCOMP_DFR,2636,3243,44.84%,55.16%,0
NPT43_PRIV,2606,3273,44.33%,55.67%,0
PLUS_DEBT_INST_PELL_MD,2540,3339,43.20%,56.80%,0
PLUS_DEBT_INST_NOPELL_MD,2540,3339,43.20%,56.80%,0
DBRR20_PP_UG_N,2535,3344,43.12%,56.88%,0
DBRR20_PP_UG_NUM,2535,3344,43.12%,56.88%,0
DBRR20_PP_UG_DEN,2535,3344,43.12%,56.88%,0
DBRR20_PP_UG_RT,2535,3344,43.12%,56.88%,0
PLUS_DEBT_ALL_STAFFTHIS_MD,2468,3411,41.98%,58.02%,0
PLUS_DEBT_ALL_NOSTAFFTHIS_MD,2468,3411,41.98%,58.02%,0
DBRR1_PP_UGCOMP_N,2448,3431,41.64%,58.36%,0
DBRR1_PP_UGCOMP_NUM,2448,3431,41.64%,58.36%,0
DBRR1_PP_UGCOMP_DEN,2448,3431,41.64%,58.36%,0
DBRR1_PP_UGCOMP_RT,2448,3431,41.64%,58.36%,0
PLUS_DEBT_INST_COMP_MD,2426,3453,41.27%,58.73%,0
PLUS_DEBT_INST_COMP_MDPAY10,2426,3453,41.27%,58.73%,0
PLUS_DEBT_INST_NOCOMP_MD,2426,3453,41.27%,58.73%,0
BBRR2_PP_UGCOMP_N,2407,3472,40.94%,59.06%,0
BBRR2_FED_UGNOCOMP_DFLT,2379,3500,40.47%,59.53%,0
C150_L4_LOANNOPELL,2376,3503,40.42%,59.58%,0
D150_L4_LOANNOPELL,2376,3503,40.42%,59.58%,0
BBRR2_FED_UGUNK_FBR,2372,3507,40.35%,59.65%,0
DBRR4_PP_UGCOMP_N,2340,3539,39.80%,60.20%,0
DBRR4_PP_UGCOMP_NUM,2340,3539,39.80%,60.20%,0
DBRR4_PP_UGCOMP_DEN,2340,3539,39.80%,60.20%,0
DBRR4_PP_UGCOMP_RT,2340,3539,39.80%,60.20%,0
BBRR2_FED_UGNOCOMP_MAKEPROG,2326,3553,39.56%,60.44%,0
BBRR2_PP_UG_NOPROG,2313,3566,39.34%,60.66%,0
NPT4_75UP_PRIV,2307,3572,39.24%,60.76%,0
PLUS_DEBT_INST_MALE_MD,2291,3588,38.97%,61.03%,0
PLUS_DEBT_INST_NOMALE_MD,2291,3588,38.97%,61.03%,0
PRGMOFR,2278,3601,38.75%,61.25%,0
CIPCODE1,2278,3601,38.75%,61.25%,0
CIPTITLE1,2278,3601,38.75%,61.25%,0
CIPTFBS1,2278,3601,38.75%,61.25%,0
CIPTFBSANNUAL1,2278,3601,38.75%,61.25%,0
MTHCMP1,2278,3601,38.75%,61.25%,0
TUITIONFEE_PROG,2238,3641,38.07%,61.93%,0
BBRR2_PP_UG_FBR,2231,3648,37.95%,62.05%,0
C150_4,2229,3650,37.91%,62.09%,0
D150_4,2229,3650,37.91%,62.09%,0
TRANS_4,2229,3650,37.91%,62.09%,0
DTRANS_4,2229,3650,37.91%,62.09%,0
D150_4_WHITE,2229,3650,37.91%,62.09%,0
D150_4_BLACK,2229,3650,37.91%,62.09%,0
D150_4_HISP,2229,3650,37.91%,62.09%,0
D150_4_ASIAN,2229,3650,37.91%,62.09%,0
D150_4_AIAN,2229,3650,37.91%,62.09%,0
D150_4_NHPI,2229,3650,37.91%,62.09%,0
D150_4_2MOR,2229,3650,37.91%,62.09%,0
D150_4_NRA,2229,3650,37.91%,62.09%,0
D150_4_UNKN,2229,3650,37.91%,62.09%,0
DBRR10_FED_GR_N,2170,3709,36.91%,63.09%,0
DBRR10_FED_GR_NUM,2170,3709,36.91%,63.09%,0
DBRR10_FED_GR_DEN,2170,3709,36.91%,63.09%,0
DBRR10_FED_GR_RT,2170,3709,36.91%,63.09%,0
ALIAS,2169,3710,36.89%,63.11%,0
C150_4_WHITE,2161,3718,36.76%,63.24%,0
C150_4_NOLOANNOPELL,2161,3718,36.76%,63.24%,0
D150_4_NOLOANNOPELL,2161,3718,36.76%,63.24%,0
C150_4_PELL,2156,3723,36.67%,63.33%,0
D150_4_PELL,2156,3723,36.67%,63.33%,0
NPT44_PRIV,2154,3725,36.64%,63.36%,0
COSTT4_P,2138,3741,36.37%,63.63%,0
BBRR2_FED_UGUNK_DFR,2107,3772,35.84%,64.16%,0
ADM_RATE_ALL,2032,3847,34.56%,65.44%,0
RET_FT4,2029,3850,34.51%,65.49%,0
BBRR2_FED_UGCOMP_PAIDINFULL,2025,3854,34.44%,65.56%,0
BBRR2_FED_UGUNK_MAKEPROG,2015,3864,34.27%,65.73%,0
C150_4_BLACK,2004,3875,34.09%,65.91%,0
BBRR2_PP_UG_PAIDINFULL,1994,3885,33.92%,66.08%,0
C100_4,1986,3893,33.78%,66.22%,0
D100_4,1986,3893,33.78%,66.22%,0
C150_4_HISP,1979,3900,33.66%,66.34%,0
DBRR4_PP_UGUNK_N,1976,3903,33.61%,66.39%,0
DBRR4_PP_UGUNK_NUM,1976,3903,33.61%,66.39%,0
DBRR4_PP_UGUNK_DEN,1976,3903,33.61%,66.39%,0
DBRR4_PP_UGUNK_RT,1976,3903,33.61%,66.39%,0
C150_4_LOANNOPELL,1968,3911,33.48%,66.52%,0
D150_4_LOANNOPELL,1968,3911,33.48%,66.52%,0
ADM_RATE,1953,3926,33.22%,66.78%,0
C200_4,1930,3949,32.83%,67.17%,0
D200_4,1930,3949,32.83%,67.17%,0
DBRR5_FED_GR_N,1918,3961,32.62%,67.38%,0
DBRR5_FED_GR_NUM,1918,3961,32.62%,67.38%,0
DBRR5_FED_GR_DEN,1918,3961,32.62%,67.38%,0
DBRR5_FED_GR_RT,1918,3961,32.62%,67.38%,0
CIPCODE2,1868,4011,31.77%,68.23%,0
CIPTITLE2,1868,4011,31.77%,68.23%,0
MTHCMP2,1868,4011,31.77%,68.23%,0
CIPTFBS2,1866,4013,31.74%,68.26%,0
CIPTFBSANNUAL2,1866,4013,31.74%,68.26%,0
NPT4_PUB,1852,4027,31.50%,68.50%,0
NUM4_PUB,1852,4027,31.50%,68.50%,0
NUM41_PUB,1852,4027,31.50%,68.50%,0
NUM42_PUB,1852,4027,31.50%,68.50%,0
NUM43_PUB,1852,4027,31.50%,68.50%,0
NUM44_PUB,1852,4027,31.50%,68.50%,0
NUM45_PUB,1852,4027,31.50%,68.50%,0
NPT4_048_PUB,1849,4030,31.45%,68.55%,0
NPT41_PUB,1843,4036,31.35%,68.65%,0
BBRR2_PP_UGNOCOMP_N,1829,4050,31.11%,68.89%,0
DBRR1_PP_UGNOCOMP_N,1804,4075,30.69%,69.31%,0
DBRR1_PP_UGNOCOMP_NUM,1804,4075,30.69%,69.31%,0
DBRR1_PP_UGNOCOMP_DEN,1804,4075,30.69%,69.31%,0
DBRR1_PP_UGNOCOMP_RT,1804,4075,30.69%,69.31%,0
NPT45_PRIV,1802,4077,30.65%,69.35%,0
NPT4_3075_PUB,1792,4087,30.48%,69.52%,0
RET_PTL4,1780,4099,30.28%,69.72%,0
NPT42_PUB,1769,4110,30.09%,69.91%,0
DBRR4_PP_UGNOCOMP_N,1743,4136,29.65%,70.35%,0
DBRR4_PP_UGNOCOMP_NUM,1743,4136,29.65%,70.35%,0
DBRR4_PP_UGNOCOMP_DEN,1743,4136,29.65%,70.35%,0
DBRR4_PP_UGNOCOMP_RT,1743,4136,29.65%,70.35%,0
C150_4_ASIAN,1731,4148,29.44%,70.56%,0
GRADS,1731,4148,29.44%,70.56%,0
G12MN,1731,4148,29.44%,70.56%,0
NPT43_PUB,1720,4159,29.26%,70.74%,0
C150_4_2MOR,1716,4163,29.19%,70.81%,0
DBRR4_FED_GR_N,1716,4163,29.19%,70.81%,0
DBRR4_FED_GR_NUM,1716,4163,29.19%,70.81%,0
DBRR4_FED_GR_DEN,1716,4163,29.19%,70.81%,0
DBRR4_FED_GR_RT,1716,4163,29.19%,70.81%,0
BBRR2_PP_UG_DFR,1712,4167,29.12%,70.88%,0
C150_4_UNKN,1678,4201,28.54%,71.46%,0
DBRR20_FED_GR_N,1660,4219,28.24%,71.76%,0
DBRR20_FED_GR_NUM,1660,4219,28.24%,71.76%,0
DBRR20_FED_GR_DEN,1660,4219,28.24%,71.76%,0
DBRR20_FED_GR_RT,1660,4219,28.24%,71.76%,0
D150_L4_WHITE,1647,4232,28.01%,71.99%,0
D150_L4_BLACK,1647,4232,28.01%,71.99%,0
D150_L4_HISP,1647,4232,28.01%,71.99%,0
D150_L4_ASIAN,1647,4232,28.01%,71.99%,0
D150_L4_AIAN,1647,4232,28.01%,71.99%,0
D150_L4_NHPI,1647,4232,28.01%,71.99%,0
D150_L4_2MOR,1647,4232,28.01%,71.99%,0
D150_L4_NRA,1647,4232,28.01%,71.99%,0
D150_L4_UNKN,1647,4232,28.01%,71.99%,0
DBRR1_FED_GR_N,1641,4238,27.91%,72.09%,0
DBRR1_FED_GR_NUM,1641,4238,27.91%,72.09%,0
DBRR1_FED_GR_DEN,1641,4238,27.91%,72.09%,0
DBRR1_FED_GR_RT,1641,4238,27.91%,72.09%,0
BBRR2_FED_UG_DISCHARGE,1635,4244,27.81%,72.19%,0
BBRR2_PP_UGUNK_N,1624,4255,27.62%,72.38%,0
C150_L4_WHITE,1614,4265,27.45%,72.55%,0
BBRR2_PP_UG_DFLT,1614,4265,27.45%,72.55%,0
BBRR2_FED_GR_N,1603,4276,27.27%,72.73%,0
BBRR2_FED_UGNOCOMP_PAIDINFULL,1573,4306,26.76%,73.24%,0
NPT4_75UP_PUB,1572,4307,26.74%,73.26%,0
BBRR2_FED_UGNOCOMP_DLNQ,1564,4315,26.60%,73.40%,0
C150_4_NRA,1561,4318,26.55%,73.45%,0
BBRR2_FED_UGCOMP_DLNQ,1555,4324,26.45%,73.55%,0
NPT44_PUB,1544,4335,26.26%,73.74%,0
BBRR2_FED_UGCOMP_DFLT,1538,4341,26.16%,73.84%,0
BBRR2_FED_GR_NOPROG,1519,4360,25.84%,74.16%,0
PLUS_DEBT_ALL_STAFFANY_N,1516,4363,25.79%,74.21%,0
PLUS_DEBT_ALL_NOSTAFFANY_N,1516,4363,25.79%,74.21%,0
DBRR1_FED_GRCOMP_N,1507,4372,25.63%,74.37%,0
DBRR1_FED_GRCOMP_NUM,1507,4372,25.63%,74.37%,0
DBRR1_FED_GRCOMP_DEN,1507,4372,25.63%,74.37%,0
DBRR1_FED_GRCOMP_RT,1507,4372,25.63%,74.37%,0
DBRR1_FED_GRNOCOMP_N,1507,4372,25.63%,74.37%,0
DBRR1_FED_GRNOCOMP_NUM,1507,4372,25.63%,74.37%,0
DBRR1_FED_GRNOCOMP_DEN,1507,4372,25.63%,74.37%,0
DBRR1_FED_GRNOCOMP_RT,1507,4372,25.63%,74.37%,0
C150_L4_BLACK,1483,4396,25.23%,74.77%,0
C150_L4_HISP,1479,4400,25.16%,74.84%,0
CIPCODE3,1478,4401,25.14%,74.86%,0
CIPTITLE3,1478,4401,25.14%,74.86%,0
MTHCMP3,1478,4401,25.14%,74.86%,0
CIPTFBS3,1477,4402,25.12%,74.88%,0
CIPTFBSANNUAL3,1477,4402,25.12%,74.88%,0
DBRR1_PP_UGUNK_N,1477,4402,25.12%,74.88%,0
DBRR1_PP_UGUNK_NUM,1477,4402,25.12%,74.88%,0
DBRR1_PP_UGUNK_DEN,1477,4402,25.12%,74.88%,0
DBRR1_PP_UGUNK_RT,1477,4402,25.12%,74.88%,0
BBRR2_PP_UGCOMP_MAKEPROG,1441,4438,24.51%,75.49%,0
BBRR2_PP_UGCOMP_NOPROG,1416,4463,24.09%,75.91%,0
C150_4_AIAN,1404,4475,23.88%,76.12%,0
BBRR2_FED_GR_MAKEPROG,1382,4497,23.51%,76.49%,0
LPGPLUS_CNT,1377,4502,23.42%,76.58%,0
LPGPLUS_AMT,1377,4502,23.42%,76.58%,0
BBRR2_FED_GR_FBR,1369,4510,23.29%,76.71%,0
SAT_AVG_ALL,1355,4524,23.05%,76.95%,0
NPT45_PUB,1333,4546,22.67%,77.33%,0
SAT_AVG,1291,4588,21.96%,78.04%,0
ACTCM25,1269,4610,21.59%,78.41%,0
ACTCM75,1269,4610,21.59%,78.41%,0
ACTCMMID,1269,4610,21.59%,78.41%,0
RET_PT4,1269,4610,21.59%,78.41%,0
SATMT25,1235,4644,21.01%,78.99%,0
SATMT75,1235,4644,21.01%,78.99%,0
SATMTMID,1235,4644,21.01%,78.99%,0
SATVR25,1232,4647,20.96%,79.04%,0
SATVR75,1232,4647,20.96%,79.04%,0
SATVRMID,1232,4647,20.96%,79.04%,0
C150_L4_2MOR,1218,4661,20.72%,79.28%,0
ACTEN25,1195,4684,20.33%,79.67%,0
ACTEN75,1195,4684,20.33%,79.67%,0
ACTMT25,1195,4684,20.33%,79.67%,0
ACTMT75,1195,4684,20.33%,79.67%,0
ACTENMID,1195,4684,20.33%,79.67%,0
ACTMTMID,1195,4684,20.33%,79.67%,0
BBRR2_FED_GR_DFR,1171,4708,19.92%,80.08%,0
BBRR2_FED_GR_PAIDINFULL,1164,4715,19.80%,80.20%,0
C150_L4_ASIAN,1157,4722,19.68%,80.32%,0
CIPCODE4,1127,4752,19.17%,80.83%,0
CIPTITLE4,1127,4752,19.17%,80.83%,0
MTHCMP4,1127,4752,19.17%,80.83%,0
CIPTFBS4,1126,4753,19.15%,80.85%,0
CIPTFBSANNUAL4,1126,4753,19.15%,80.85%,0
BBRR2_PP_UGCOMP_PAIDINFULL,1119,4760,19.03%,80.97%,0
PLUS_DEBT_INST_STAFFTHIS_N,1100,4779,18.71%,81.29%,0
PLUS_DEBT_INST_NOSTAFFTHIS_N,1100,4779,18.71%,81.29%,0
BBRR2_FED_GRCOMP_N,1093,4786,18.59%,81.41%,0
BBRR2_FED_GRNOCOMP_N,1093,4786,18.59%,81.41%,0
BBRR2_PP_UGCOMP_FBR,1085,4794,18.46%,81.54%,0
C150_L4_UNKN,1071,4808,18.22%,81.78%,0
BBRR2_FED_UGUNK_PAIDINFULL,1039,4840,17.67%,82.33%,0
BBRR2_FED_UGUNK_DFLT,1005,4874,17.09%,82.91%,0
C150_L4_AIAN,982,4897,16.70%,83.30%,0
BBRR2_PP_UG_DLNQ,942,4937,16.02%,83.98%,0
PLUS_DEBT_ALL_STAFFANY_MD,928,4951,15.78%,84.22%,0
PLUS_DEBT_ALL_NOSTAFFANY_MD,928,4951,15.78%,84.22%,0
C150_4_NHPI,885,4994,15.05%,84.95%,0
PLUS_DEBT_INST_STAFFANY_N,879,5000,14.95%,85.05%,0
PLUS_DEBT_INST_NOSTAFFANY_N,879,5000,14.95%,85.05%,0
BBRR2_PP_UGNOCOMP_NOPROG,868,5011,14.76%,85.24%,0
CIPCODE5,811,5068,13.79%,86.21%,0
CIPTITLE5,811,5068,13.79%,86.21%,0
CIPTFBS5,811,5068,13.79%,86.21%,0
CIPTFBSANNUAL5,811,5068,13.79%,86.21%,0
MTHCMP5,811,5068,13.79%,86.21%,0
RELAFFIL,795,5084,13.52%,86.48%,0
BBRR2_FED_GRCOMP_NOPROG,744,5135,12.66%,87.34%,0
BBRR2_FED_GRNOCOMP_NOPROG,744,5135,12.66%,87.34%,0
BBRR2_PP_UGUNK_NOPROG,738,5141,12.55%,87.45%,0
BBRR2_PP_UGNOCOMP_DFR,737,5142,12.54%,87.46%,0
BBRR2_PP_UG_DISCHARGE,735,5144,12.50%,87.50%,0
BBRR2_PP_UGNOCOMP_MAKEPROG,710,5169,12.08%,87.92%,0
BBRR2_PP_UGNOCOMP_FBR,686,5193,11.67%,88.33%,0
BBRR2_FED_GR_DLNQ,683,5196,11.62%,88.38%,0
BBRR2_PP_UGCOMP_DFLT,650,5229,11.06%,88.94%,0
C150_L4_NHPI,640,5239,10.89%,89.11%,0
C150_L4_NRA,636,5243,10.82%,89.18%,0
PLUS_DEBT_INST_STAFFTHIS_MD,620,5259,10.55%,89.45%,0
PLUS_DEBT_INST_NOSTAFFTHIS_MD,620,5259,10.55%,89.45%,0
CIPCODE6,614,5265,10.44%,89.56%,0
CIPTITLE6,614,5265,10.44%,89.56%,0
CIPTFBS6,614,5265,10.44%,89.56%,0
CIPTFBSANNUAL6,614,5265,10.44%,89.56%,0
MTHCMP6,614,5265,10.44%,89.56%,0
BBRR2_FED_UGNOCOMP_DISCHARGE,614,5265,10.44%,89.56%,0
BBRR2_PP_UGCOMP_DFR,586,5293,9.97%,90.03%,0
BBRR2_FED_UGUNK_DLNQ,572,5307,9.73%,90.27%,0
BBRR2_PP_UGNOCOMP_PAIDINFULL,508,5371,8.64%,91.36%,0
PLUS_DEBT_INST_STAFFANY_MD,506,5373,8.61%,91.39%,0
PLUS_DEBT_INST_NOSTAFFANY_MD,506,5373,8.61%,91.39%,0
BBRR2_FED_GR_DFLT,500,5379,8.50%,91.50%,0
BBRR2_PP_UGUNK_MAKEPROG,477,5402,8.11%,91.89%,0
BBRR2_PP_UGUNK_PAIDINFULL,456,5423,7.76%,92.24%,0
BBRR2_FED_GRCOMP_FBR,455,5424,7.74%,92.26%,0
BBRR2_FED_GRNOCOMP_FBR,454,5425,7.72%,92.28%,0
BBRR2_PP_UGUNK_FBR,413,5466,7.03%,92.97%,0
BBRR2_PP_UGNOCOMP_DFLT,396,5483,6.74%,93.26%,0
BBRR2_FED_GR_DISCHARGE,317,5562,5.39%,94.61%,0
BBRR2_PP_UGCOMP_DLNQ,310,5569,5.27%,94.73%,0
BBRR2_PP_UGUNK_DFR,305,5574,5.19%,94.81%,0
BBRR2_FED_UGCOMP_DISCHARGE,243,5636,4.13%,95.87%,0
BBRR2_PP_UGCOMP_DISCHARGE,229,5650,3.90%,96.10%,0
BBRR2_FED_GRCOMP_DFR,210,5669,3.57%,96.43%,0
BBRR2_FED_GRNOCOMP_DFR,210,5669,3.57%,96.43%,0
BBRR2_FED_GRCOMP_PAIDINFULL,200,5679,3.40%,96.60%,0
BBRR2_FED_GRNOCOMP_PAIDINFULL,200,5679,3.40%,96.60%,0
BBRR2_FED_GRCOMP_MAKEPROG,177,5702,3.01%,96.99%,0
BBRR2_FED_GRNOCOMP_MAKEPROG,177,5702,3.01%,96.99%,0
BBRR2_FED_UGUNK_DISCHARGE,166,5713,2.82%,97.18%,0
BBRR2_FED_GRNOCOMP_DFLT,147,5732,2.50%,97.50%,0
BBRR2_PP_UGUNK_DFLT,134,5745,2.28%,97.72%,0
BBRR2_PP_UGNOCOMP_DLNQ,117,5762,1.99%,98.01%,0
BBRR2_FED_GRCOMP_DLNQ,114,5765,1.94%,98.06%,0
BBRR2_FED_GRNOCOMP_DLNQ,91,5788,1.55%,98.45%,0
BBRR2_FED_GRCOMP_DFLT,88,5791,1.50%,98.50%,0
BBRR2_FED_GRCOMP_DISCHARGE,60,5819,1.02%,98.98%,0
BBRR2_FED_GRNOCOMP_DISCHARGE,60,5819,1.02%,98.98%,0
BBRR2_PP_UGNOCOMP_DISCHARGE,56,5823,0.95%,99.05%,0
BBRR2_PP_UGUNK_DISCHARGE,13,5866,0.22%,99.78%,0
